"filename", "language", "Properties", "JavaScript", "JSON", "Docker", "YAML", "comment", "blank", "total"
"d:\Code\homestays-search-engine\be\.env", "Properties", 2, 0, 0, 0, 0, 0, 0, 2
"d:\Code\homestays-search-engine\be\Dockerfile", "Docker", 0, 0, 0, 9, 0, 3, 8, 20
"d:\Code\homestays-search-engine\be\config\auth.config.js", "JavaScript", 0, 4, 0, 0, 0, 0, 1, 5
"d:\Code\homestays-search-engine\be\controllers\auth.js", "JavaScript", 0, 30, 0, 0, 0, 0, 3, 33
"d:\Code\homestays-search-engine\be\controllers\home.js", "JavaScript", 0, 126, 0, 0, 0, 1, 7, 134
"d:\Code\homestays-search-engine\be\controllers\user.js", "JavaScript", 0, 58, 0, 0, 0, 0, 11, 69
"d:\Code\homestays-search-engine\be\docker-compose.yml", "YAML", 0, 0, 0, 0, 25, 0, 5, 30
"d:\Code\homestays-search-engine\be\index.js", "JavaScript", 0, 65, 0, 0, 0, 2, 8, 75
"d:\Code\homestays-search-engine\be\middlewares\authJWT.js", "JavaScript", 0, 18, 0, 0, 0, 0, 3, 21
"d:\Code\homestays-search-engine\be\middlewares\verifySignup.js", "JavaScript", 0, 17, 0, 0, 0, 1, 3, 21
"d:\Code\homestays-search-engine\be\models\Favhome.js", "JavaScript", 0, 22, 0, 0, 0, 0, 2, 24
"d:\Code\homestays-search-engine\be\models\Home.js", "JavaScript", 0, 113, 0, 0, 0, 0, 2, 115
"d:\Code\homestays-search-engine\be\models\User.js", "JavaScript", 0, 22, 0, 0, 0, 0, 3, 25
"d:\Code\homestays-search-engine\be\package-lock.json", "JSON", 0, 0, 1923, 0, 0, 0, 1, 1924
"d:\Code\homestays-search-engine\be\package.json", "JSON", 0, 0, 23, 0, 0, 0, 1, 24
"d:\Code\homestays-search-engine\be\routes\auth.js", "JavaScript", 0, 7, 0, 0, 0, 0, 4, 11
"d:\Code\homestays-search-engine\be\routes\homes.js", "JavaScript", 0, 7, 0, 0, 0, 3, 5, 15
"d:\Code\homestays-search-engine\be\routes\users.js", "JavaScript", 0, 14, 0, 0, 0, 0, 3, 17
"d:\Code\homestays-search-engine\be\services\authService.js", "JavaScript", 0, 50, 0, 0, 0, 0, 11, 61
"d:\Code\homestays-search-engine\be\services\favhomeService.js", "JavaScript", 0, 20, 0, 0, 0, 0, 6, 26
"d:\Code\homestays-search-engine\be\services\homeService.js", "JavaScript", 0, 27, 0, 0, 0, 0, 6, 33
"d:\Code\homestays-search-engine\be\services\userService.js", "JavaScript", 0, 7, 0, 0, 0, 0, 3, 10
"d:\Code\homestays-search-engine\be\utils\error.js", "JavaScript", 0, 6, 0, 0, 0, 1, 2, 9
"Total", "-", 2, 613, 1946, 9, 25, 11, 98, 2704
